dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-fsq_transplant_ImageNet_model_8_2_4_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_8_2_4
loss_pre: loss_1.0_0.4
training_pre: fsq_refinement
saver_name_pre: fsq_refinement_ImageNet_model_8_2_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 1.3524, rec_loss 0.0284, lpips_loss 0.2275, g_loss 0.2033, disc_weight 0.4000, disc_adaptive_weight 4.8135, d_loss 2.4849, logits_real -0.1200, logits_fake -0.1994,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.4014, rec_loss 0.0341, lpips_loss 0.2416, g_loss 0.0434, disc_weight 0.4000, disc_adaptive_weight 2.9076, d_loss 0.7494, logits_real -0.0935, logits_fake -0.0441,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.3947, rec_loss 0.0345, lpips_loss 0.2404, g_loss 0.0406, disc_weight 0.4000, disc_adaptive_weight 2.9598, d_loss 0.7293, logits_real -0.0874, logits_fake -0.0409,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.3970, rec_loss 0.0352, lpips_loss 0.2406, g_loss 0.0368, disc_weight 0.4000, disc_adaptive_weight 3.3318, d_loss 0.7050, logits_real -0.0808, logits_fake -0.0376,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.4080, rec_loss 0.0370, lpips_loss 0.2438, g_loss 0.0349, disc_weight 0.4000, disc_adaptive_weight 3.7589, d_loss 0.6927, logits_real -0.0740, logits_fake -0.0338,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.4013, rec_loss 0.0379, lpips_loss 0.2436, g_loss 0.0307, disc_weight 0.4000, disc_adaptive_weight 4.0079, d_loss 0.6770, logits_real -0.0662, logits_fake -0.0298,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.3901, rec_loss 0.0396, lpips_loss 0.2461, g_loss 0.0248, disc_weight 0.4000, disc_adaptive_weight 4.2855, d_loss 0.6638, logits_real -0.0578, logits_fake -0.0237,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.3759, rec_loss 0.0402, lpips_loss 0.2469, g_loss 0.0194, disc_weight 0.4000, disc_adaptive_weight 4.4033, d_loss 0.6542, logits_real -0.0499, logits_fake -0.0190,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.3497, rec_loss 0.0392, lpips_loss 0.2437, g_loss 0.0147, disc_weight 0.4000, disc_adaptive_weight 4.1773, d_loss 0.6473, logits_real -0.0423, logits_fake -0.0144,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.3209, rec_loss 0.0381, lpips_loss 0.2417, g_loss 0.0095, disc_weight 0.4000, disc_adaptive_weight 4.0915, d_loss 0.6393, logits_real -0.0352, logits_fake -0.0103,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.2996, rec_loss 0.0378, lpips_loss 0.2418, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.0314, d_loss 0.6377, logits_real -0.0288, logits_fake -0.0058,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.2819, rec_loss 0.0373, lpips_loss 0.2405, g_loss 0.0009, disc_weight 0.4000, disc_adaptive_weight 3.8463, d_loss 0.6323, logits_real -0.0235, logits_fake -0.0025,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.2673, rec_loss 0.0360, lpips_loss 0.2382, g_loss -0.0019, disc_weight 0.4000, disc_adaptive_weight 3.8295, d_loss 0.6262, logits_real -0.0191, logits_fake 0.0006,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.2591, rec_loss 0.0358, lpips_loss 0.2389, g_loss -0.0043, disc_weight 0.4000, disc_adaptive_weight 3.9493, d_loss 0.6207, logits_real -0.0149, logits_fake 0.0035,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.2476, rec_loss 0.0349, lpips_loss 0.2361, g_loss -0.0066, disc_weight 0.4000, disc_adaptive_weight 3.7123, d_loss 0.6154, logits_real -0.0108, logits_fake 0.0055,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.2397, rec_loss 0.0334, lpips_loss 0.2326, g_loss -0.0076, disc_weight 0.4000, disc_adaptive_weight 3.5456, d_loss 0.6092, logits_real -0.0075, logits_fake 0.0071,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.2301, rec_loss 0.0317, lpips_loss 0.2282, g_loss -0.0088, disc_weight 0.4000, disc_adaptive_weight 3.4131, d_loss 0.6035, logits_real -0.0046, logits_fake 0.0085,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.2259, rec_loss 0.0316, lpips_loss 0.2261, g_loss -0.0098, disc_weight 0.4000, disc_adaptive_weight 3.2920, d_loss 0.6001, logits_real -0.0017, logits_fake 0.0095,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.2223, rec_loss 0.0309, lpips_loss 0.2251, g_loss -0.0111, disc_weight 0.4000, disc_adaptive_weight 3.0474, d_loss 0.5952, logits_real 0.0005, logits_fake 0.0109,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.2180, rec_loss 0.0312, lpips_loss 0.2255, g_loss -0.0119, disc_weight 0.4000, disc_adaptive_weight 3.2165, d_loss 0.5904, logits_real 0.0023, logits_fake 0.0118,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.2128, rec_loss 0.0317, lpips_loss 0.2262, g_loss -0.0132, disc_weight 0.4000, disc_adaptive_weight 3.3870, d_loss 0.5862, logits_real 0.0040, logits_fake 0.0128,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.2048, rec_loss 0.0318, lpips_loss 0.2258, g_loss -0.0146, disc_weight 0.4000, disc_adaptive_weight 3.5687, d_loss 0.5812, logits_real 0.0055, logits_fake 0.0142,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.1999, rec_loss 0.0317, lpips_loss 0.2269, g_loss -0.0162, disc_weight 0.4000, disc_adaptive_weight 3.6280, d_loss 0.5747, logits_real 0.0072, logits_fake 0.0162,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.1892, rec_loss 0.0320, lpips_loss 0.2264, g_loss -0.0179, disc_weight 0.4000, disc_adaptive_weight 3.8977, d_loss 0.5703, logits_real 0.0092, logits_fake 0.0180,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.1820, rec_loss 0.0312, lpips_loss 0.2249, g_loss -0.0198, disc_weight 0.4000, disc_adaptive_weight 3.7642, d_loss 0.5648, logits_real 0.0108, logits_fake 0.0199,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.1785, rec_loss 0.0317, lpips_loss 0.2239, g_loss -0.0216, disc_weight 0.4000, disc_adaptive_weight 3.5949, d_loss 0.5599, logits_real 0.0127, logits_fake 0.0215,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.1754, rec_loss 0.0318, lpips_loss 0.2251, g_loss -0.0232, disc_weight 0.4000, disc_adaptive_weight 3.5029, d_loss 0.5563, logits_real 0.0149, logits_fake 0.0232,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.1692, rec_loss 0.0319, lpips_loss 0.2229, g_loss -0.0249, disc_weight 0.4000, disc_adaptive_weight 3.4559, d_loss 0.5528, logits_real 0.0164, logits_fake 0.0248,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.1625, rec_loss 0.0317, lpips_loss 0.2217, g_loss -0.0263, disc_weight 0.4000, disc_adaptive_weight 3.4388, d_loss 0.5489, logits_real 0.0184, logits_fake 0.0259,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.1558, rec_loss 0.0315, lpips_loss 0.2210, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 3.4765, d_loss 0.5456, logits_real 0.0203, logits_fake 0.0276,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.1506, rec_loss 0.0307, lpips_loss 0.2211, g_loss -0.0295, disc_weight 0.4000, disc_adaptive_weight 3.4499, d_loss 0.5415, logits_real 0.0221, logits_fake 0.0294,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.1454, rec_loss 0.0308, lpips_loss 0.2208, g_loss -0.0312, disc_weight 0.4000, disc_adaptive_weight 3.4366, d_loss 0.5380, logits_real 0.0240, logits_fake 0.0312,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.1320, rec_loss 0.0306, lpips_loss 0.2218, g_loss -0.0326, disc_weight 0.4000, disc_adaptive_weight 3.7016, d_loss 0.5337, logits_real 0.0259, logits_fake 0.0327,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.1334, rec_loss 0.0307, lpips_loss 0.2213, g_loss -0.0340, disc_weight 0.4000, disc_adaptive_weight 3.5090, d_loss 0.5305, logits_real 0.0277, logits_fake 0.0342,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.1319, rec_loss 0.0310, lpips_loss 0.2233, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 3.4703, d_loss 0.5280, logits_real 0.0293, logits_fake 0.0354,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.1303, rec_loss 0.0309, lpips_loss 0.2234, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 3.4326, d_loss 0.5252, logits_real 0.0307, logits_fake 0.0364,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.1316, rec_loss 0.0304, lpips_loss 0.2226, g_loss -0.0372, disc_weight 0.4000, disc_adaptive_weight 3.2789, d_loss 0.5214, logits_real 0.0319, logits_fake 0.0373,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.1406, rec_loss 0.0306, lpips_loss 0.2216, g_loss -0.0381, disc_weight 0.4000, disc_adaptive_weight 2.9343, d_loss 0.5191, logits_real 0.0332, logits_fake 0.0379,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.1406, rec_loss 0.0306, lpips_loss 0.2218, g_loss -0.0387, disc_weight 0.4000, disc_adaptive_weight 2.8932, d_loss 0.5166, logits_real 0.0343, logits_fake 0.0389,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.1403, rec_loss 0.0305, lpips_loss 0.2198, g_loss -0.0396, disc_weight 0.4000, disc_adaptive_weight 2.7798, d_loss 0.5130, logits_real 0.0352, logits_fake 0.0397,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.1334, rec_loss 0.0307, lpips_loss 0.2197, g_loss -0.0404, disc_weight 0.4000, disc_adaptive_weight 2.8934, d_loss 0.5101, logits_real 0.0363, logits_fake 0.0406,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.1252, rec_loss 0.0311, lpips_loss 0.2199, g_loss -0.0410, disc_weight 0.4000, disc_adaptive_weight 3.0615, d_loss 0.5079, logits_real 0.0372, logits_fake 0.0410,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.1113, rec_loss 0.0312, lpips_loss 0.2210, g_loss -0.0418, disc_weight 0.4000, disc_adaptive_weight 3.3622, d_loss 0.5054, logits_real 0.0381, logits_fake 0.0419,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.1019, rec_loss 0.0310, lpips_loss 0.2221, g_loss -0.0429, disc_weight 0.4000, disc_adaptive_weight 3.5220, d_loss 0.5028, logits_real 0.0390, logits_fake 0.0428,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.1011, rec_loss 0.0311, lpips_loss 0.2224, g_loss -0.0438, disc_weight 0.4000, disc_adaptive_weight 3.4869, d_loss 0.5003, logits_real 0.0402, logits_fake 0.0439,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.1005, rec_loss 0.0308, lpips_loss 0.2216, g_loss -0.0447, disc_weight 0.4000, disc_adaptive_weight 3.4073, d_loss 0.4979, logits_real 0.0411, logits_fake 0.0446,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.0937, rec_loss 0.0308, lpips_loss 0.2218, g_loss -0.0457, disc_weight 0.4000, disc_adaptive_weight 3.4762, d_loss 0.4954, logits_real 0.0421, logits_fake 0.0459,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.0976, rec_loss 0.0303, lpips_loss 0.2211, g_loss -0.0467, disc_weight 0.4000, disc_adaptive_weight 3.2922, d_loss 0.4935, logits_real 0.0431, logits_fake 0.0469,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.1015, rec_loss 0.0305, lpips_loss 0.2196, g_loss -0.0476, disc_weight 0.4000, disc_adaptive_weight 3.1223, d_loss 0.4910, logits_real 0.0442, logits_fake 0.0477,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.0880, rec_loss 0.0306, lpips_loss 0.2190, g_loss -0.0483, disc_weight 0.4000, disc_adaptive_weight 3.3400, d_loss 0.4886, logits_real 0.0452, logits_fake 0.0484,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.0830, rec_loss 0.0305, lpips_loss 0.2186, g_loss -0.0489, disc_weight 0.4000, disc_adaptive_weight 3.3941, d_loss 0.4868, logits_real 0.0459, logits_fake 0.0490,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.0854, rec_loss 0.0302, lpips_loss 0.2181, g_loss -0.0498, disc_weight 0.4000, disc_adaptive_weight 3.2707, d_loss 0.4844, logits_real 0.0468, logits_fake 0.0496,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.0756, rec_loss 0.0305, lpips_loss 0.2180, g_loss -0.0502, disc_weight 0.4000, disc_adaptive_weight 3.4368, d_loss 0.4823, logits_real 0.0474, logits_fake 0.0501,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.0686, rec_loss 0.0303, lpips_loss 0.2180, g_loss -0.0505, disc_weight 0.4000, disc_adaptive_weight 3.5590, d_loss 0.4800, logits_real 0.0479, logits_fake 0.0505,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.0628, rec_loss 0.0300, lpips_loss 0.2190, g_loss -0.0507, disc_weight 0.4000, disc_adaptive_weight 3.6744, d_loss 0.4791, logits_real 0.0480, logits_fake 0.0506,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.0599, rec_loss 0.0300, lpips_loss 0.2191, g_loss -0.0514, disc_weight 0.4000, disc_adaptive_weight 3.6836, d_loss 0.4767, logits_real 0.0484, logits_fake 0.0513,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.0674, rec_loss 0.0301, lpips_loss 0.2195, g_loss -0.0514, disc_weight 0.4000, disc_adaptive_weight 3.5446, d_loss 0.4754, logits_real 0.0486, logits_fake 0.0515,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.0790, rec_loss 0.0302, lpips_loss 0.2188, g_loss -0.0516, disc_weight 0.4000, disc_adaptive_weight 3.2932, d_loss 0.4730, logits_real 0.0489, logits_fake 0.0516,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.0807, rec_loss 0.0302, lpips_loss 0.2186, g_loss -0.0517, disc_weight 0.4000, disc_adaptive_weight 3.2521, d_loss 0.4715, logits_real 0.0490, logits_fake 0.0516,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.0890, rec_loss 0.0302, lpips_loss 0.2179, g_loss -0.0516, disc_weight 0.4000, disc_adaptive_weight 3.0821, d_loss 0.4688, logits_real 0.0493, logits_fake 0.0517,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.0998, rec_loss 0.0305, lpips_loss 0.2189, g_loss -0.0513, disc_weight 0.4000, disc_adaptive_weight 2.9205, d_loss 0.4670, logits_real 0.0495, logits_fake 0.0514,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.0909, rec_loss 0.0309, lpips_loss 0.2193, g_loss -0.0513, disc_weight 0.4000, disc_adaptive_weight 3.1051, d_loss 0.4650, logits_real 0.0497, logits_fake 0.0514,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.0886, rec_loss 0.0304, lpips_loss 0.2188, g_loss -0.0513, disc_weight 0.4000, disc_adaptive_weight 3.1327, d_loss 0.4640, logits_real 0.0496, logits_fake 0.0514,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.0862, rec_loss 0.0302, lpips_loss 0.2196, g_loss -0.0513, disc_weight 0.4000, disc_adaptive_weight 3.1892, d_loss 0.4621, logits_real 0.0496, logits_fake 0.0512,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.0878, rec_loss 0.0300, lpips_loss 0.2190, g_loss -0.0512, disc_weight 0.4000, disc_adaptive_weight 3.1462, d_loss 0.4600, logits_real 0.0495, logits_fake 0.0511,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.0837, rec_loss 0.0297, lpips_loss 0.2183, g_loss -0.0510, disc_weight 0.4000, disc_adaptive_weight 3.2188, d_loss 0.4593, logits_real 0.0492, logits_fake 0.0510,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.0892, rec_loss 0.0294, lpips_loss 0.2178, g_loss -0.0505, disc_weight 0.4000, disc_adaptive_weight 3.1249, d_loss 0.4578, logits_real 0.0488, logits_fake 0.0506,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.0888, rec_loss 0.0297, lpips_loss 0.2189, g_loss -0.0501, disc_weight 0.4000, disc_adaptive_weight 3.1832, d_loss 0.4557, logits_real 0.0489, logits_fake 0.0504,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.0923, rec_loss 0.0300, lpips_loss 0.2186, g_loss -0.0496, disc_weight 0.4000, disc_adaptive_weight 3.1458, d_loss 0.4544, logits_real 0.0487, logits_fake 0.0500,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.0957, rec_loss 0.0301, lpips_loss 0.2185, g_loss -0.0494, disc_weight 0.4000, disc_adaptive_weight 3.0939, d_loss 0.4543, logits_real 0.0485, logits_fake 0.0496,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.0974, rec_loss 0.0301, lpips_loss 0.2179, g_loss -0.0492, disc_weight 0.4000, disc_adaptive_weight 3.0567, d_loss 0.4525, logits_real 0.0486, logits_fake 0.0496,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.1004, rec_loss 0.0300, lpips_loss 0.2180, g_loss -0.0492, disc_weight 0.4000, disc_adaptive_weight 3.0029, d_loss 0.4511, logits_real 0.0484, logits_fake 0.0494,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.1050, rec_loss 0.0296, lpips_loss 0.2172, g_loss -0.0490, disc_weight 0.4000, disc_adaptive_weight 2.9010, d_loss 0.4502, logits_real 0.0481, logits_fake 0.0490,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.1041, rec_loss 0.0298, lpips_loss 0.2174, g_loss -0.0487, disc_weight 0.4000, disc_adaptive_weight 2.9411, d_loss 0.4491, logits_real 0.0479, logits_fake 0.0489,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.1052, rec_loss 0.0300, lpips_loss 0.2184, g_loss -0.0486, disc_weight 0.4000, disc_adaptive_weight 2.9479, d_loss 0.4478, logits_real 0.0477, logits_fake 0.0489,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.0964, rec_loss 0.0302, lpips_loss 0.2192, g_loss -0.0482, disc_weight 0.4000, disc_adaptive_weight 3.1875, d_loss 0.4471, logits_real 0.0473, logits_fake 0.0484,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.0913, rec_loss 0.0298, lpips_loss 0.2182, g_loss -0.0478, disc_weight 0.4000, disc_adaptive_weight 3.2838, d_loss 0.4462, logits_real 0.0471, logits_fake 0.0479,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.0771, rec_loss 0.0303, lpips_loss 0.2197, g_loss -0.0476, disc_weight 0.4000, disc_adaptive_weight 3.6384, d_loss 0.4451, logits_real 0.0468, logits_fake 0.0476,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.0760, rec_loss 0.0302, lpips_loss 0.2197, g_loss -0.0474, disc_weight 0.4000, disc_adaptive_weight 3.6753, d_loss 0.4441, logits_real 0.0466, logits_fake 0.0474,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.0650, rec_loss 0.0300, lpips_loss 0.2182, g_loss -0.0470, disc_weight 0.4000, disc_adaptive_weight 3.9108, d_loss 0.4424, logits_real 0.0462, logits_fake 0.0471,
