dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
chunks: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_False_ImageNet_model_256_8_4_1_loss_1.0_0.2_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_4_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_refinement_False
saver_name_pre: mmd_vq_refinement_False_ImageNet_model_256_8_4_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1838, rec_loss 0.0210, lpips_loss 0.1773, g_loss -0.0068, disc_weight 0.4000, disc_adaptive_weight 3.7221, d_loss 2.3982, logits_real 0.0509, logits_fake 0.0029,
Train Epoch: [1/5] Iters:[120/20018] gen_loss 0.0620, rec_loss 0.0259, lpips_loss 0.1933, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 5.2023, d_loss 0.8668, logits_real 0.0443, logits_fake 0.0298,
Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.0879, rec_loss 0.0263, lpips_loss 0.1933, g_loss -0.0271, disc_weight 0.4000, disc_adaptive_weight 4.8333, d_loss 0.8236, logits_real 0.0426, logits_fake 0.0270,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.1057, rec_loss 0.0260, lpips_loss 0.1925, g_loss -0.0253, disc_weight 0.4000, disc_adaptive_weight 4.5255, d_loss 0.7859, logits_real 0.0414, logits_fake 0.0252,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.1136, rec_loss 0.0263, lpips_loss 0.1928, g_loss -0.0245, disc_weight 0.4000, disc_adaptive_weight 4.3931, d_loss 0.7566, logits_real 0.0403, logits_fake 0.0245,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.1138, rec_loss 0.0260, lpips_loss 0.1909, g_loss -0.0250, disc_weight 0.4000, disc_adaptive_weight 4.2362, d_loss 0.7296, logits_real 0.0387, logits_fake 0.0250,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.1128, rec_loss 0.0257, lpips_loss 0.1891, g_loss -0.0273, disc_weight 0.4000, disc_adaptive_weight 3.8084, d_loss 0.7084, logits_real 0.0373, logits_fake 0.0269,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.1112, rec_loss 0.0250, lpips_loss 0.1850, g_loss -0.0284, disc_weight 0.4000, disc_adaptive_weight 3.4778, d_loss 0.6902, logits_real 0.0359, logits_fake 0.0282,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.1160, rec_loss 0.0247, lpips_loss 0.1833, g_loss -0.0283, disc_weight 0.4000, disc_adaptive_weight 3.2505, d_loss 0.6748, logits_real 0.0340, logits_fake 0.0287,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.1183, rec_loss 0.0244, lpips_loss 0.1816, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 3.1444, d_loss 0.6597, logits_real 0.0318, logits_fake 0.0281,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.1209, rec_loss 0.0240, lpips_loss 0.1795, g_loss -0.0271, disc_weight 0.4000, disc_adaptive_weight 3.0597, d_loss 0.6470, logits_real 0.0300, logits_fake 0.0274,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.1272, rec_loss 0.0239, lpips_loss 0.1786, g_loss -0.0258, disc_weight 0.4000, disc_adaptive_weight 2.9007, d_loss 0.6351, logits_real 0.0284, logits_fake 0.0263,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.1344, rec_loss 0.0238, lpips_loss 0.1788, g_loss -0.0242, disc_weight 0.4000, disc_adaptive_weight 2.8198, d_loss 0.6240, logits_real 0.0266, logits_fake 0.0248,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.1404, rec_loss 0.0244, lpips_loss 0.1794, g_loss -0.0226, disc_weight 0.4000, disc_adaptive_weight 2.8392, d_loss 0.6146, logits_real 0.0244, logits_fake 0.0228,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.1448, rec_loss 0.0241, lpips_loss 0.1788, g_loss -0.0209, disc_weight 0.4000, disc_adaptive_weight 2.7961, d_loss 0.6063, logits_real 0.0226, logits_fake 0.0213,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.1509, rec_loss 0.0241, lpips_loss 0.1799, g_loss -0.0192, disc_weight 0.4000, disc_adaptive_weight 2.7777, d_loss 0.5989, logits_real 0.0208, logits_fake 0.0196,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.1519, rec_loss 0.0240, lpips_loss 0.1792, g_loss -0.0174, disc_weight 0.4000, disc_adaptive_weight 2.9358, d_loss 0.5927, logits_real 0.0185, logits_fake 0.0178,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.1574, rec_loss 0.0239, lpips_loss 0.1784, g_loss -0.0157, disc_weight 0.4000, disc_adaptive_weight 2.8352, d_loss 0.5864, logits_real 0.0165, logits_fake 0.0159,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.1579, rec_loss 0.0233, lpips_loss 0.1766, g_loss -0.0141, disc_weight 0.4000, disc_adaptive_weight 2.9908, d_loss 0.5794, logits_real 0.0147, logits_fake 0.0142,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.1607, rec_loss 0.0237, lpips_loss 0.1765, g_loss -0.0127, disc_weight 0.4000, disc_adaptive_weight 3.1185, d_loss 0.5748, logits_real 0.0132, logits_fake 0.0126,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.1651, rec_loss 0.0235, lpips_loss 0.1770, g_loss -0.0113, disc_weight 0.4000, disc_adaptive_weight 3.1058, d_loss 0.5692, logits_real 0.0116, logits_fake 0.0110,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.1710, rec_loss 0.0242, lpips_loss 0.1783, g_loss -0.0100, disc_weight 0.4000, disc_adaptive_weight 3.1157, d_loss 0.5646, logits_real 0.0102, logits_fake 0.0097,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.1775, rec_loss 0.0246, lpips_loss 0.1795, g_loss -0.0082, disc_weight 0.4000, disc_adaptive_weight 3.0976, d_loss 0.5605, logits_real 0.0087, logits_fake 0.0082,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.1831, rec_loss 0.0245, lpips_loss 0.1790, g_loss -0.0068, disc_weight 0.4000, disc_adaptive_weight 2.9405, d_loss 0.5561, logits_real 0.0072, logits_fake 0.0068,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.1893, rec_loss 0.0240, lpips_loss 0.1794, g_loss -0.0049, disc_weight 0.4000, disc_adaptive_weight 2.8185, d_loss 0.5509, logits_real 0.0055, logits_fake 0.0051,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.1940, rec_loss 0.0242, lpips_loss 0.1786, g_loss -0.0030, disc_weight 0.4000, disc_adaptive_weight 2.8479, d_loss 0.5473, logits_real 0.0039, logits_fake 0.0034,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.1976, rec_loss 0.0236, lpips_loss 0.1772, g_loss -0.0011, disc_weight 0.4000, disc_adaptive_weight 2.7501, d_loss 0.5423, logits_real 0.0022, logits_fake 0.0014,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.2001, rec_loss 0.0238, lpips_loss 0.1767, g_loss -0.0001, disc_weight 0.4000, disc_adaptive_weight 2.8750, d_loss 0.5383, logits_real 0.0008, logits_fake 0.0002,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.2060, rec_loss 0.0241, lpips_loss 0.1778, g_loss 0.0012, disc_weight 0.4000, disc_adaptive_weight 2.9799, d_loss 0.5357, logits_real -0.0005, logits_fake -0.0010,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.2090, rec_loss 0.0241, lpips_loss 0.1761, g_loss 0.0025, disc_weight 0.4000, disc_adaptive_weight 3.1496, d_loss 0.5320, logits_real -0.0019, logits_fake -0.0022,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.2134, rec_loss 0.0239, lpips_loss 0.1756, g_loss 0.0037, disc_weight 0.4000, disc_adaptive_weight 3.4356, d_loss 0.5284, logits_real -0.0034, logits_fake -0.0034,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.2178, rec_loss 0.0237, lpips_loss 0.1756, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 3.6692, d_loss 0.5257, logits_real -0.0047, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.2226, rec_loss 0.0231, lpips_loss 0.1753, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 3.7284, d_loss 0.5220, logits_real -0.0062, logits_fake -0.0060,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.2278, rec_loss 0.0232, lpips_loss 0.1756, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 3.6787, d_loss 0.5184, logits_real -0.0079, logits_fake -0.0076,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.2338, rec_loss 0.0233, lpips_loss 0.1771, g_loss 0.0091, disc_weight 0.4000, disc_adaptive_weight 3.6934, d_loss 0.5158, logits_real -0.0094, logits_fake -0.0090,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.2356, rec_loss 0.0235, lpips_loss 0.1768, g_loss 0.0101, disc_weight 0.4000, disc_adaptive_weight 3.5112, d_loss 0.5125, logits_real -0.0106, logits_fake -0.0101,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.2413, rec_loss 0.0236, lpips_loss 0.1782, g_loss 0.0114, disc_weight 0.4000, disc_adaptive_weight 3.4682, d_loss 0.5095, logits_real -0.0120, logits_fake -0.0115,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.2452, rec_loss 0.0236, lpips_loss 0.1786, g_loss 0.0125, disc_weight 0.4000, disc_adaptive_weight 3.4307, d_loss 0.5072, logits_real -0.0131, logits_fake -0.0128,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.2469, rec_loss 0.0232, lpips_loss 0.1779, g_loss 0.0136, disc_weight 0.4000, disc_adaptive_weight 3.3877, d_loss 0.5045, logits_real -0.0141, logits_fake -0.0139,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.2499, rec_loss 0.0232, lpips_loss 0.1771, g_loss 0.0147, disc_weight 0.4000, disc_adaptive_weight 3.3887, d_loss 0.5017, logits_real -0.0151, logits_fake -0.0150,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.2544, rec_loss 0.0233, lpips_loss 0.1775, g_loss 0.0161, disc_weight 0.4000, disc_adaptive_weight 3.3618, d_loss 0.4995, logits_real -0.0162, logits_fake -0.0162,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.2551, rec_loss 0.0234, lpips_loss 0.1764, g_loss 0.0171, disc_weight 0.4000, disc_adaptive_weight 3.2565, d_loss 0.4965, logits_real -0.0173, logits_fake -0.0171,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.2572, rec_loss 0.0235, lpips_loss 0.1765, g_loss 0.0178, disc_weight 0.4000, disc_adaptive_weight 3.2258, d_loss 0.4937, logits_real -0.0183, logits_fake -0.0177,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.2614, rec_loss 0.0239, lpips_loss 0.1767, g_loss 0.0188, disc_weight 0.4000, disc_adaptive_weight 3.2606, d_loss 0.4921, logits_real -0.0191, logits_fake -0.0185,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.2623, rec_loss 0.0240, lpips_loss 0.1778, g_loss 0.0198, disc_weight 0.4000, disc_adaptive_weight 3.0729, d_loss 0.4893, logits_real -0.0203, logits_fake -0.0196,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.2693, rec_loss 0.0240, lpips_loss 0.1788, g_loss 0.0206, disc_weight 0.4000, disc_adaptive_weight 3.2177, d_loss 0.4869, logits_real -0.0215, logits_fake -0.0205,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.2782, rec_loss 0.0240, lpips_loss 0.1792, g_loss 0.0216, disc_weight 0.4000, disc_adaptive_weight 3.4526, d_loss 0.4847, logits_real -0.0225, logits_fake -0.0216,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.2785, rec_loss 0.0237, lpips_loss 0.1784, g_loss 0.0228, disc_weight 0.4000, disc_adaptive_weight 3.3612, d_loss 0.4825, logits_real -0.0237, logits_fake -0.0225,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.2823, rec_loss 0.0238, lpips_loss 0.1791, g_loss 0.0238, disc_weight 0.4000, disc_adaptive_weight 3.3536, d_loss 0.4802, logits_real -0.0247, logits_fake -0.0234,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.2878, rec_loss 0.0235, lpips_loss 0.1784, g_loss 0.0247, disc_weight 0.4000, disc_adaptive_weight 3.4933, d_loss 0.4789, logits_real -0.0256, logits_fake -0.0244,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.2921, rec_loss 0.0236, lpips_loss 0.1776, g_loss 0.0257, disc_weight 0.4000, disc_adaptive_weight 3.5430, d_loss 0.4773, logits_real -0.0264, logits_fake -0.0254,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.2885, rec_loss 0.0236, lpips_loss 0.1771, g_loss 0.0265, disc_weight 0.4000, disc_adaptive_weight 3.3076, d_loss 0.4757, logits_real -0.0271, logits_fake -0.0263,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.2921, rec_loss 0.0236, lpips_loss 0.1764, g_loss 0.0272, disc_weight 0.4000, disc_adaptive_weight 3.3891, d_loss 0.4745, logits_real -0.0279, logits_fake -0.0272,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.2970, rec_loss 0.0234, lpips_loss 0.1760, g_loss 0.0279, disc_weight 0.4000, disc_adaptive_weight 3.5113, d_loss 0.4727, logits_real -0.0285, logits_fake -0.0280,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.3019, rec_loss 0.0235, lpips_loss 0.1760, g_loss 0.0285, disc_weight 0.4000, disc_adaptive_weight 3.6011, d_loss 0.4708, logits_real -0.0292, logits_fake -0.0286,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.2967, rec_loss 0.0233, lpips_loss 0.1760, g_loss 0.0293, disc_weight 0.4000, disc_adaptive_weight 3.3415, d_loss 0.4688, logits_real -0.0299, logits_fake -0.0293,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.3127, rec_loss 0.0231, lpips_loss 0.1768, g_loss 0.0297, disc_weight 0.4000, disc_adaptive_weight 3.7935, d_loss 0.4681, logits_real -0.0304, logits_fake -0.0297,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.3166, rec_loss 0.0231, lpips_loss 0.1770, g_loss 0.0303, disc_weight 0.4000, disc_adaptive_weight 3.8429, d_loss 0.4658, logits_real -0.0309, logits_fake -0.0303,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.3217, rec_loss 0.0231, lpips_loss 0.1772, g_loss 0.0309, disc_weight 0.4000, disc_adaptive_weight 3.9276, d_loss 0.4643, logits_real -0.0316, logits_fake -0.0307,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.3232, rec_loss 0.0232, lpips_loss 0.1769, g_loss 0.0313, disc_weight 0.4000, disc_adaptive_weight 3.9312, d_loss 0.4629, logits_real -0.0319, logits_fake -0.0311,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.3313, rec_loss 0.0232, lpips_loss 0.1767, g_loss 0.0317, disc_weight 0.4000, disc_adaptive_weight 4.1468, d_loss 0.4611, logits_real -0.0325, logits_fake -0.0316,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.3223, rec_loss 0.0231, lpips_loss 0.1758, g_loss 0.0322, disc_weight 0.4000, disc_adaptive_weight 3.8292, d_loss 0.4585, logits_real -0.0331, logits_fake -0.0323,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.3355, rec_loss 0.0235, lpips_loss 0.1771, g_loss 0.0325, disc_weight 0.4000, disc_adaptive_weight 4.1397, d_loss 0.4575, logits_real -0.0336, logits_fake -0.0327,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.3341, rec_loss 0.0239, lpips_loss 0.1777, g_loss 0.0330, disc_weight 0.4000, disc_adaptive_weight 4.0079, d_loss 0.4556, logits_real -0.0341, logits_fake -0.0332,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.3303, rec_loss 0.0237, lpips_loss 0.1773, g_loss 0.0335, disc_weight 0.4000, disc_adaptive_weight 3.8701, d_loss 0.4543, logits_real -0.0346, logits_fake -0.0337,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.3307, rec_loss 0.0236, lpips_loss 0.1779, g_loss 0.0338, disc_weight 0.4000, disc_adaptive_weight 3.8313, d_loss 0.4532, logits_real -0.0348, logits_fake -0.0338,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.3303, rec_loss 0.0235, lpips_loss 0.1777, g_loss 0.0340, disc_weight 0.4000, disc_adaptive_weight 3.7974, d_loss 0.4518, logits_real -0.0351, logits_fake -0.0341,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.3190, rec_loss 0.0233, lpips_loss 0.1770, g_loss 0.0344, disc_weight 0.4000, disc_adaptive_weight 3.4611, d_loss 0.4504, logits_real -0.0354, logits_fake -0.0344,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.3173, rec_loss 0.0232, lpips_loss 0.1766, g_loss 0.0345, disc_weight 0.4000, disc_adaptive_weight 3.4111, d_loss 0.4493, logits_real -0.0354, logits_fake -0.0345,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.3203, rec_loss 0.0234, lpips_loss 0.1773, g_loss 0.0347, disc_weight 0.4000, disc_adaptive_weight 3.4563, d_loss 0.4478, logits_real -0.0356, logits_fake -0.0346,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.3220, rec_loss 0.0236, lpips_loss 0.1773, g_loss 0.0352, disc_weight 0.4000, disc_adaptive_weight 3.4590, d_loss 0.4473, logits_real -0.0359, logits_fake -0.0350,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.3291, rec_loss 0.0237, lpips_loss 0.1775, g_loss 0.0358, disc_weight 0.4000, disc_adaptive_weight 3.5840, d_loss 0.4468, logits_real -0.0364, logits_fake -0.0354,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.3294, rec_loss 0.0235, lpips_loss 0.1769, g_loss 0.0362, disc_weight 0.4000, disc_adaptive_weight 3.5649, d_loss 0.4462, logits_real -0.0370, logits_fake -0.0360,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.3343, rec_loss 0.0234, lpips_loss 0.1768, g_loss 0.0367, disc_weight 0.4000, disc_adaptive_weight 3.6658, d_loss 0.4454, logits_real -0.0376, logits_fake -0.0367,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.3355, rec_loss 0.0232, lpips_loss 0.1760, g_loss 0.0371, disc_weight 0.4000, disc_adaptive_weight 3.6752, d_loss 0.4448, logits_real -0.0381, logits_fake -0.0372,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.3424, rec_loss 0.0235, lpips_loss 0.1762, g_loss 0.0375, disc_weight 0.4000, disc_adaptive_weight 3.8041, d_loss 0.4437, logits_real -0.0385, logits_fake -0.0374,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.3397, rec_loss 0.0237, lpips_loss 0.1768, g_loss 0.0376, disc_weight 0.4000, disc_adaptive_weight 3.6975, d_loss 0.4424, logits_real -0.0385, logits_fake -0.0377,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.3432, rec_loss 0.0239, lpips_loss 0.1775, g_loss 0.0378, disc_weight 0.4000, disc_adaptive_weight 3.7492, d_loss 0.4413, logits_real -0.0385, logits_fake -0.0379,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.3469, rec_loss 0.0236, lpips_loss 0.1767, g_loss 0.0379, disc_weight 0.4000, disc_adaptive_weight 3.8586, d_loss 0.4403, logits_real -0.0389, logits_fake -0.0380,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.3497, rec_loss 0.0240, lpips_loss 0.1785, g_loss 0.0382, disc_weight 0.4000, disc_adaptive_weight 3.8568, d_loss 0.4393, logits_real -0.0391, logits_fake -0.0382,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.3487, rec_loss 0.0239, lpips_loss 0.1784, g_loss 0.0383, disc_weight 0.4000, disc_adaptive_weight 3.8193, d_loss 0.4381, logits_real -0.0394, logits_fake -0.0386,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.3528, rec_loss 0.0238, lpips_loss 0.1771, g_loss 0.0386, disc_weight 0.4000, disc_adaptive_weight 3.9332, d_loss 0.4374, logits_real -0.0399, logits_fake -0.0389,
